S.no,Player Name,Runs in Flat Pitches,Runs in Red Soil Pitches,Runs in Black Soil Pitches,Dismissals in Flat Pitches,Dismissals in Red Soil Pitches,Dismissals in Black Soil Pitches
580,LW James,1191,0,0,44,0,0
581,Nasir Hossain,1190,0,0,34,0,0
582,Asif Ali,1186,0,0,53,0,0
583,SC Kuggeleijn,1186,0,0,34,0,0
584,Salman Butt,1172,13,0,32,1,0
585,MV Boucher,1103,74,0,26,1,0
586,KD Clarke,1175,0,0,26,0,0
587,Karanbir Singh,1172,0,0,11,0,0
588,IG Holland,1170,0,0,47,0,0
589,BCJ Cutting,1130,37,0,45,3,0
590,RP Jones,1165,0,0,30,0,0
591,CF Hughes,1161,0,0,34,0,0
592,TAI Taylor,1159,0,0,49,0,0
593,CWJ Allison,1143,0,0,20,0,0
594,WD Bragg,1142,0,0,33,0,0
595,M Kapp,1141,0,0,29,0,0
596,AC Jayangani,1141,0,0,23,0,0
597,MG Erasmus,1135,0,0,32,0,0
598,BJ Watling,1134,0,0,29,0,0
599,A Flintoff,1132,0,0,24,0,0
600,C Overton,1131,0,0,37,0,0
601,PG Fulton,1131,0,0,26,0,0
602,AJ Robson,1130,0,0,37,0,0
603,GP Smith,1130,0,0,34,0,0
604,AR McBrine,1127,0,0,34,0,0
605,JA Morkel,1070,39,16,34,3,1
606,TT Samaraweera,1097,26,0,19,2,0
607,Khushdil Shah,1122,0,0,27,0,0
608,Babar Hayat,1121,0,0,21,0,0
609,EA Brookes,1117,0,0,40,0,0
610,CG Benjamin,1115,0,0,30,0,0
611,V Shankar,1002,46,67,24,4,2
612,AM Hardie,1111,0,0,29,0,0
613,LV van Beek,1108,0,2,37,0,1
614,JT Smuts,1110,0,0,29,0,0
615,CAJ Meschede,1109,0,0,38,0,0
616,TH Tector,1109,0,0,24,0,0
617,DN Phillips,1107,0,0,45,0,0
618,BJ McMullen,1082,25,0,21,1,0
619,ARI Umeed,1106,0,0,22,0,0
620,WR Smith,1100,0,0,33,0,0
621,JM De Caires,1099,0,0,37,0,0
622,Zafar Gohar,1098,0,0,42,0,0
623,MHW Papps,1097,0,0,24,0,0
624,Harbhajan Singh,647,428,19,38,24,1
625,Washington Sundar,903,103,85,36,6,5
626,SJ Thakor,1090,0,0,32,0,0
627,TJ Price,1087,0,0,37,0,0
628,A Capsey,1050,32,0,30,3,0
629,Mohammad Ashraful,1076,0,0,41,0,0
630,DM Bess,1075,0,0,31,0,0
631,WJ Durston,1074,0,0,31,0,0
632,Mohammad Nawaz (3),1071,0,0,44,0,0
633,WD Parnell,1051,20,0,38,2,0
634,MJ Lamb,1068,0,0,28,0,0
635,K Bhurtel,990,78,0,23,4,0
636,MG Johnson,999,56,10,36,1,2
637,LJ Woodcock,1065,0,0,21,0,0
638,DJ Hussey,1004,59,0,30,5,0
639,W Luxton,1062,0,0,37,0,0
640,Dhruv Jurel,1017,40,0,22,2,0
641,DS Airee,886,169,0,20,3,0
642,Mohammad Mithun,1054,0,0,43,0,0
643,MJ Waite,1054,0,0,37,0,0
644,BJ Jacobs,1053,0,0,21,0,0
645,CR Brathwaite,988,64,0,49,1,0
646,JC Archer,989,60,0,36,3,1
647,E Chigumbura,1045,0,0,29,0,0
648,D Pretorius,1029,1,13,36,0,1
649,SJ Murdoch,1042,0,0,27,0,0
650,BWM Mike,1041,0,0,33,0,0
651,C Tear,1041,0,0,22,0,0
652,ZJ Chappell,1037,0,0,45,0,0
653,L Croospulle,1034,0,0,25,0,0
654,BD Schmulian,1033,0,0,16,0,0
655,R Tewatia,674,303,49,25,7,3
656,E Jones,1026,0,0,20,0,0
657,Ashar Zaidi,1025,0,0,32,0,0
658,DA Douthwaite,1020,0,0,35,0,0
659,BF Smith,1015,0,0,33,0,0
660,BS Wilson,1014,0,0,24,0,0
661,MH Cross,1007,4,0,28,1,0
662,HJ Armitage,1002,0,0,26,0,0
663,MP Vaughan,1001,0,0,19,0,0
664,GO Jones,1000,0,0,30,0,0
665,A Badoni,841,130,27,22,4,2
666,NRD Compton,939,59,0,27,1,0
667,SA Edwards,958,0,38,25,0,1
668,CJ Green,993,0,0,28,0,0
669,AU Rashid,935,22,30,47,5,2
670,TP Ura,986,0,0,14,0,0
671,DR Martyn,828,155,0,20,3,0
672,L Trevaskis,982,0,0,44,0,0
673,AK Kitchen,982,0,0,29,0,0
674,PWH de Silva,930,33,18,44,1,4
675,JS Lehmann,978,0,0,29,0,0
676,A Bandara,975,0,0,8,0,0
677,AG Salter,973,0,0,40,0,0
678,JLB Davies,968,0,0,36,0,0
679,Junaid Siddique,967,0,0,28,0,0
680,KHD Barker,966,0,0,26,0,0
681,JM Sharma,699,232,32,25,6,1
682,PA Jaques,963,0,0,16,0,0
683,GR Adair,962,0,0,28,0,0
684,ML Guptill-Bunce,957,0,0,22,0,0
685,C Connolly,939,17,0,26,1,0
686,Mohammad Haris,954,0,0,37,0,0
687,J Broad,952,0,0,30,0,0
688,A Sharafu,951,0,0,22,0,0
689,TAR Scriven,946,0,0,26,0,0
690,M Bryant,944,0,0,26,0,0
691,EL Lamb,944,0,0,24,0,0
692,GJ Muchall,942,0,0,14,0,0
693,T van der Gugten,941,0,0,36,0,0
694,J Liyanage,939,0,0,28,0,0
695,BJ Bennett,934,5,0,20,1,0
696,SN Luff,938,0,0,21,0,0
697,RJ Nicol,935,0,0,31,0,0
698,TG Southee,806,48,80,52,7,5
699,AN Davidson-Richards,930,0,0,26,0,0
700,ME Bouchier,928,0,0,24,1,0
701,M Jansen,822,101,1,32,1,1
702,BS McKinney,923,0,0,25,0,0
703,BR Hampton,920,0,0,33,0,0
704,CJL Rogers,919,0,0,24,0,0
705,WA Tavare,918,0,0,23,0,0
706,LM Benkenstein,917,0,0,26,0,0
707,GJ Delany,916,0,0,35,0,0
708,OE Robinson,915,0,0,43,0,0
709,CO Obuya,914,0,0,15,0,0
710,Faheem Ashraf,913,0,0,46,0,0
711,Abdul Razzaq,913,0,0,19,0,0
712,H Deol,860,3,49,22,2,3
713,SS Tiwary,809,43,58,24,1,2
714,MF Hurst,906,0,0,28,0,0
715,BGF Green,905,0,0,28,0,0
716,C Carmichael,903,0,0,23,0,0
717,HR Cooper,900,0,0,27,0,0
718,TB de Bruyn,860,0,38,28,0,2
719,CT Steel,898,0,0,29,0,0
720,V Suryavanshi,892,4,0,19,1,0
721,SM Solia,895,0,0,32,0,0
722,Priyansh Arya,879,15,0,26,1,0
723,RR Patel,893,0,0,21,0,0
724,DJ Lamb,891,0,0,35,0,0
725,Haris Sohail,888,0,0,21,0,0
726,RK Kleinveldt,884,0,0,39,0,0
727,MJG Rippon,884,0,0,24,0,0
728,AM Lilley,883,0,0,36,0,0
729,H Davids,881,0,0,31,0,0
730,K Noema-Barnett,879,0,0,30,0,0
731,WT Smale,877,0,0,24,0,0
732,TS Roland-Jones,876,0,0,32,0,0
733,KOA Powell,706,149,21,18,4,1
734,SN Khan,724,127,23,17,10,2
735,AM Ellis,874,0,0,18,0,0
736,CH Morris,728,101,44,29,3,1
737,DPS Sooriyabandara,873,0,0,8,0,0
738,TP Ward,871,0,0,18,0,0
739,SCJ Broad,863,6,0,47,1,0
740,T de Zorzi,869,0,0,26,0,0
741,JS Foster,864,0,0,23,0,0
742,MJ Potts,863,0,0,30,0,0
743,EJ Villani,863,0,0,13,0,0
744,PJ Cummins,680,123,56,39,1,0
745,NA Greenwood,859,0,0,24,0,0
746,MG Neser,858,0,0,27,0,0
747,AN Kervezee,858,0,0,25,0,0
748,M Vohra,776,77,0,22,6,0
749,DJS Dottin,733,20,100,16,1,3
750,GS Dinusha,853,0,0,12,0,0
751,A Sutherland,759,89,0,24,4,0
752,KE Bryce,847,0,0,14,0,0
753,MA Leask,841,4,0,24,1,0
754,SSJ Brooks,838,0,0,24,0,0
755,TD Paine,834,2,0,33,1,0
756,Sohaib Maqsood,830,0,0,20,0,0
757,RP Burl,825,0,0,24,1,0
758,KNM Fernando,823,0,0,29,0,0
759,MJ Henry,812,10,0,52,2,0
760,IS Sodhi,805,15,0,38,2,0
761,NV Ojha,707,110,0,21,6,0
762,GF Linde,813,0,0,40,0,0
763,FW McCann,810,0,0,27,0,0
764,MR Adair,807,0,0,37,0,0
765,FS Middleton,807,0,0,23,0,0
766,GA Elwiss,767,39,0,9,2,0
767,SR Mukkamalla,803,2,0,20,1,0
768,Inzamam-ul-Haq,803,0,0,19,0,0
769,Asif Khan,801,0,0,12,0,0
770,HJ Swindells,800,0,0,24,0,0
771,Hassan Nawaz,794,0,0,17,0,0
772,T Brits,793,0,0,20,0,0
773,MA Starc,692,9,91,31,2,2
774,MW Chu,791,0,0,30,0,0
775,Tanzid Hasan,691,12,87,27,1,2
776,Rony Talukdar,790,0,0,26,0,0
777,W Barresi,753,0,37,20,0,1
778,JL Jonassen,756,28,0,22,2,0
779,MK Tiwary,416,270,97,17,8,3
780,Yasir Ali Chowdhury,782,0,0,29,0,0
781,JP Phillips,777,0,0,19,0,0
782,MA Pollard,777,0,0,17,0,0
783,C De Freitas,775,0,0,14,0,0
784,LE Plunkett,772,0,0,31,0,0
785,Mashrafe Mortaza,771,0,0,33,0,0
786,SA Abbott,769,0,0,28,1,0
787,RTM Mendis,768,0,0,15,0,0
788,JJ Smit,766,0,0,19,0,0
789,Milind Kumar,732,34,0,13,1,0
790,FIN Khushi,765,0,0,23,0,0
791,KR Patterson,761,0,0,18,0,0
792,CL Tryon,760,0,0,25,0,0
793,Mohammad Naim,760,0,0,23,0,0
794,FC Wilson,760,0,0,18,0,0
795,A Vala,759,0,0,13,0,0
796,Zain-ul-Hassan,758,0,0,32,0,0
797,GP Balderson,757,0,0,24,0,0
798,AP Tare,221,535,0,11,15,1
799,B Cachopa,755,0,0,14,0,0
800,BI Kellaway,753,0,0,21,0,0
801,M de Lange,750,1,0,39,1,0
802,Nizakat Khan,751,0,0,24,0,0
803,GH Lewis,751,0,0,15,0,0
804,JJS Sangha,751,0,0,12,0,0
805,JS Patel,750,0,0,35,0,0
806,JL Langer,737,12,0,15,2,0
807,Hussain Talat,748,0,0,23,0,0
808,G Redmayne,747,0,0,16,0,0
809,KM Mack,745,0,0,20,0,0
810,NRM Thain,745,0,0,20,0,0
811,GT Hankins,744,0,0,25,0,0
812,JCT Boyle,744,0,0,24,0,0
813,MN van Wyk,743,0,0,21,0,0
814,GR Severin,737,0,0,19,0,0
815,JM How,736,0,0,9,0,0
816,Mosaddek Hossain,732,0,0,28,0,0
817,BN Cooper,732,0,0,14,0,0
818,CG Harrison,729,0,0,23,0,0
819,D Lakshan,729,0,0,17,0,0
820,Shayan Jahangir,728,0,0,25,0,0
821,SB Styris,686,41,0,19,2,0
822,Kai Smith,725,0,0,19,0,0
823,R McLaren,724,1,0,17,1,0
824,TF Rogers,724,0,0,24,0,0
825,MJ Hay,721,0,0,22,0,0
826,CJC Wright,720,0,0,31,0,0
827,Hassan Azad,720,0,0,13,0,0
828,Shahriar Nafees,719,0,0,26,0,0
829,JA McCollum,719,0,0,22,0,0
830,M du Preez,716,0,0,22,0,0
831,DC de Boorder,716,0,0,19,0,0
832,NAJ Wraith,715,0,0,24,0,0
833,A Wickramasinghe,715,0,0,16,0,0
834,RK Oliver,714,0,0,23,0,0
835,Shashank Singh,616,72,26,16,2,2
836,PJ Moor,713,0,0,29,0,0
837,Aaron Jones,713,0,0,20,0,0
838,Pratika Rawal,710,0,0,13,0,0
839,Rashid Khan,530,139,40,34,3,1
840,JR Hopes,629,79,0,22,4,0
841,Simi Singh,708,0,0,25,0,0
842,Virandeep Singh,706,0,0,17,0,0
843,Harpreet Singh,664,41,0,9,1,0
844,JM Cumming,704,0,0,16,0,0
845,RRS Cornwall,703,0,0,24,0,0
846,C Bosch,654,49,0,16,3,0
847,TK Parkes,703,0,0,16,0,0
848,RA Mariu,702,0,0,15,0,0
849,AM Ali,701,0,0,18,0,0
850,Nikhil Chaudhary,695,0,0,27,0,0
851,JD Wildermuth,694,0,0,20,0,0
852,DS Smith,693,0,0,24,0,0
853,R Rasantha,693,0,0,15,0,0
854,A Harinath,689,0,0,15,0,0
855,M Lakshan,686,0,0,10,0,0
856,SM Pollock,627,58,0,15,2,0
857,W Madhevere,683,0,0,30,0,0
858,PJ Scholfield,683,0,0,17,0,0
859,BJ Curran,675,0,0,23,0,0
860,RWT Key,675,0,0,20,0,0
861,PJ Hughes,628,0,47,15,0,1
862,L Vincent,675,0,0,12,0,0
863,SSD Arachchige,674,0,0,22,0,0
864,MWT Boyle,673,0,0,17,0,0
865,MJ North,672,0,0,19,0,0
866,MD Craig,672,0,0,18,0,0
867,APR Gidman,670,0,0,15,0,0
868,KJ McClure,667,0,0,25,0,0
869,AL Phehlukwayo,664,0,0,27,0,0
870,RL Haynes,664,0,0,11,0,0
871,N McAndrew,661,0,0,18,0,0
872,AT Thomson,660,0,0,25,0,0
873,N Wadhera,580,80,0,18,5,0
874,FS Organ,656,0,0,17,0,0
875,Syed Aziz,654,0,0,19,0,0
876,NA Rock,651,0,0,18,0,0
877,V Aravind,651,0,0,13,0,0
878,Abishek Porel,603,47,0,19,2,0
879,N de Klerk,650,0,0,21,0,0
880,Nurul Hasan,649,0,0,20,0,0
881,NG Smith,647,0,0,28,0,0
882,Nathan Fernandes,647,0,0,17,0,0
883,SD Heazlett,644,0,0,22,0,0
884,GHS Garton,642,0,0,34,0,0
885,RML Taylor,639,0,0,22,0,0
886,SP Krishnamurthi,601,37,0,13,1,0
887,L Bruce,636,0,0,16,0,0
888,Aasif Sheikh,563,71,0,24,4,0
889,PJ Malan,634,0,0,15,0,0
890,BA Hutton,633,0,0,37,0,0
891,RW Chakabva,633,0,0,22,0,0
892,T Marumani,619,14,0,18,1,0
893,SL Kalis,633,0,0,18,0,0
894,J Blake,633,0,0,17,0,0
895,FG Kemp,627,5,0,15,2,0
896,Kaveen Bandara,632,0,0,12,0,0
897,MRJ Watt,621,10,0,24,0,0
898,S Daniel,631,0,0,12,0,0
899,Ahmed Faiz Mohammad Noor,630,0,0,16,0,0
900,AA Obanda,629,0,0,17,0,0
901,Shamsur Rahman,629,0,0,15,0,0
902,Anuj Rawat,432,131,66,9,4,1
903,Jatinder Singh,628,0,0,20,0,0
904,HJ Hunt,624,0,0,15,0,0
905,KC Brathwaite,518,103,0,22,2,0
906,JF Thomas,620,0,0,17,0,0
907,M Commins,619,0,0,15,0,0
908,DAS Gunaratne,581,36,0,18,1,0
909,A Raghuvanshi,526,90,0,15,3,0
910,M Bhanuka,615,0,0,20,0,0
911,JAR Harris,613,0,0,29,0,0
912,D van Niekerk,612,0,0,19,0,0
913,GW Thomas,611,0,0,24,0,0
914,M Renwick,610,0,0,24,0,0
915,Nithish Kumar Reddy,546,60,0,19,3,0
916,BC Lara,606,0,0,15,0,0
917,S Prasanna,602,0,3,35,0,0
918,C Kieswetter,573,29,0,19,1,0
919,AC Agar,600,0,0,22,0,0
920,GK Berg,598,0,0,25,0,0
921,RJ Das,596,0,0,23,0,0
922,SW Poynter,595,0,0,18,0,0
923,BJ Horne,592,0,0,16,0,0
924,GL Adams,592,0,0,16,0,0
925,MA Abbas,590,0,0,20,0,0
926,JR Doran,589,0,0,19,0,0
927,G Wareham,556,33,0,17,1,0
928,SB Keene,588,0,0,12,0,0
929,RD Pringle,586,0,0,31,0,0
930,HR Hosein,583,0,0,17,0,0
931,BJ Dawkins,582,0,0,13,0,0
932,Anmolpreet Singh,580,0,0,15,0,0
933,TJ Wells,578,0,0,18,0,0
934,SR Taylor,553,25,0,10,1,0
935,MA Wallace,574,0,0,29,0,0
936,HE Dearden,574,0,0,20,0,0
937,S Badrinath,415,159,0,12,3,0
938,JN Loftie-Eaton,573,0,0,18,0,0
939,JP Kotze,573,0,0,13,0,0
940,KMA Paul,568,3,0,25,1,0
941,Abdul Samad,562,5,4,22,2,1
942,Azhar Mahmood,551,19,0,16,2,0
943,Kushal Malla,570,0,0,13,0,0
944,Shamim Hossain,569,0,0,14,0,0
945,S Kosala,568,0,0,8,0,0
946,GJ Batty,567,0,0,36,0,0
947,MA Wood,507,44,16,22,2,1
948,UBT Chand,549,18,0,20,3,0
949,Naman Dhir,319,247,0,11,11,0
950,Sachin Baby,377,187,2,9,6,1
951,KM Chathli,565,0,0,18,0,0
952,O Prendergast,564,0,0,13,0,0
953,Shaheen Shah Afridi,563,0,0,38,0,0
954,CG Williams,563,0,0,9,0,0
955,D Perrin,562,0,0,12,0,0
956,Chirag Suri,562,0,0,10,0,0
957,AA Jangoo,561,0,0,11,0,0
958,MH Yardy,560,0,0,17,0,0
959,KH Prajapati,560,0,0,10,0,0
960,JN Frylinck,559,0,0,19,0,0
961,D Ibrahim,558,0,0,29,0,0
962,Gurkeerat Singh,542,2,11,17,1,1
963,SK Patel,552,0,0,12,0,0
964,MT Coles,551,0,0,34,0,0
965,BAM Heath,549,1,0,21,1,0
966,Steven Ryan Taylor,550,0,0,18,0,0
967,HD Ward,548,0,0,25,0,0
968,Ashutosh Sharma,386,162,0,18,4,0
969,AW Gale,545,0,0,18,0,0
970,PW Borren,544,0,0,14,0,0
971,Kasey Aldridge,542,0,0,20,0,0
972,HAPW Jayawardene,542,0,0,11,0,0
973,AY Patel,521,15,5,31,2,2
974,M Shahrukh Khan,433,93,15,17,4,1
975,G Roelofsen,540,0,0,19,0,0
976,T Taibu,538,0,0,14,0,0
977,JD Campbell,538,0,0,11,0,0
978,CR Knott,537,0,0,17,0,0
979,CF Parkinson,535,0,0,27,0,0
980,CJ Chibhabha,535,0,0,15,0,0
981,Nasir Jamshed,534,0,0,12,0,0
982,TM Johnson,533,0,0,13,0,0
983,GJ Bell,532,0,0,19,0,0
984,Jaker Ali,532,0,0,16,0,0
985,VS Solanki,531,0,0,19,0,0
986,J Hermann,530,0,0,9,0,0
987,TC Lace,528,0,0,13,0,0
988,FA Allen,522,0,5,26,0,1
989,KL George,527,0,0,14,0,0
990,Parvez Hossain Emon,527,0,0,14,0,0
991,ML Green,526,0,0,19,0,0
992,HG Duke,525,0,0,14,0,0
993,W Sutherland,522,0,0,29,0,0
994,C Pavely,521,0,0,8,0,0
995,RS Fernando,521,0,0,8,0,0
996,A Athanaze,519,0,0,19,0,0
997,Bilal Zalmai,519,0,0,18,0,0
998,Zakir Hasan,518,0,0,19,0,0
999,JK Denly,518,0,0,18,0,0
1000,DH Lategan,517,0,0,12,0,0
1001,LA Patterson-White,513,0,0,28,0,0
1002,Vikramjit Singh,513,0,0,15,0,0
1003,LE Bosman,513,0,0,14,0,0
1004,WAR Fraine,512,0,0,18,0,0
1005,KA Maharaj,416,1,94,19,0,2
1006,KMDN Kulasekara,477,33,0,23,2,0
1007,Kamran Ghulam,510,0,0,16,0,0
1008,EM McCaughan,510,0,0,11,0,0
1009,Mahmudul Hasan Joy,509,0,0,13,0,0
1010,Muhammad Tanveer,509,0,0,9,0,0
1011,Urvil Patel,508,0,0,17,0,0
1012,Basil Hameed,506,0,0,17,0,0
1013,ARG Thomas,506,0,0,9,0,0
1014,NT Paranavitana,505,0,0,13,0,0
1015,Hassan Khan,502,0,0,16,0,0
1016,M van Lingen,502,0,0,11,0,0
1017,H Lakov,502,0,0,10,0,0
1018,R Odgers,502,0,0,8,0,0
1019,JDP Oram,481,20,0,15,0,0
1020,CA Wakim,501,0,0,12,0,0
1021,CK Coventry,501,0,0,10,0,0
1022,SP Fleming,474,26,0,15,1,0
1023,PM Seelaar,500,0,0,15,0,0
1024,Rohan Mustafa,499,0,0,23,0,0
1025,LJ Fletcher,498,0,0,29,0,0
1026,CN Miles,498,0,0,22,0,0
1027,DJ Grobbelaar,497,0,0,18,0,0
1028,YH Bhatia,377,70,49,16,4,3
1029,Ekansh Singh,496,0,0,16,0,0
1030,LA Dunbar,495,0,0,8,0,0
1031,M Topping,493,0,0,12,0,0
1032,SD Peters,490,0,0,15,0,0
1033,Aarif Sheikh,450,39,0,13,3,0
1034,CJ McKay,469,8,11,21,1,0
1035,SJ Baard,488,0,0,12,0,0
1036,Meet Bhavsar,487,0,0,10,0,0
1037,Josh Brown,486,0,0,22,0,0
1038,VP Thamotharam,485,0,0,9,0,0
1039,DJ Redfern,484,0,0,19,0,0
1040,BJ Dwarshuis,484,0,0,11,0,0
1041,MS Crane,482,0,0,20,0,0
1042,MW Harvey,482,0,0,14,0,0
1043,AH Miller,481,0,0,16,0,0
1044,GH Rhodes,481,0,0,15,0,0
1045,Hamza Shaikh,480,0,0,15,0,0
1046,Yasir Khan,478,0,0,17,0,0
1047,Najibullah Zadran,477,0,0,22,0,0
1048,TE Kane,477,0,0,13,0,0
1049,LI Georgeson,477,0,0,11,0,0
1050,S de Livera,476,0,0,15,0,0
1051,SN Thakur,310,110,54,22,9,2
1052,ND McKenzie,474,0,0,10,0,0
1053,STR Binny,402,47,24,15,1,4
1054,NJ Carey,472,0,0,9,0,0
1055,PA Raikes,471,0,0,14,0,0
1056,J Clayton,471,0,0,13,0,0
1057,LN Stackpole,471,0,0,9,0,0
1058,DA Payne,470,0,0,19,0,0
1059,BA Mayes,469,0,0,10,0,0
1060,TE Lawes,467,0,0,13,0,0
1061,PF Younghusband,466,0,0,19,0,0
1062,MW Goodwin,466,0,0,10,0,0
1063,N Wagner,465,0,0,27,0,0
1064,RH Priest,459,6,0,12,1,0
1065,Sohail Ahmed,465,0,0,6,0,0
1066,S Davizi,464,0,0,9,0,0
1067,J Shaw,463,0,0,24,0,0
1068,SJ Myburgh,463,0,0,13,0,0
1069,AAP Atkinson,425,35,2,30,1,0
1070,MN Waller,461,0,0,14,0,0
1071,A Johnson,461,0,0,9,0,0
1072,CR Hemphrey,460,0,0,13,0,0
1073,K Kadowaki-Fleming,460,0,0,6,0,0
1074,CK Kapugedera,433,1,25,22,2,1
1075,RMMP Rathnayake,459,0,0,16,0,0
1076,AJ Redmond,459,0,0,13,0,0
1077,SP Jackson,308,150,0,9,1,0
1078,M Levitt,457,0,0,8,0,0
1079,IA Karim,456,0,0,9,0,0
1080,AJ Horton,455,0,0,11,0,0
1081,Faisal Khan,455,0,0,10,0,0
1082,Saif Hassan,454,0,0,17,0,0
1083,JM Tashkoff,453,0,0,18,0,0
1084,TW Hartley,453,0,0,15,0,0
1085,S Chandramohan,453,0,0,9,0,0
1086,MNK Fernando,452,0,0,11,0,0
1087,Ashwin Hebbar,364,88,0,7,3,0
1088,R Sandaruwan,451,0,0,14,0,0
1089,SF Mire,451,0,0,14,0,0
1090,Hashan Dumindu,451,0,0,6,0,0
1091,RK Bhui,358,91,0,7,3,0
1092,KJ Abbott,448,0,0,24,0,0
1093,Gulbadin Naib,448,0,0,14,0,0
1094,Abdul Waheed,448,0,0,10,0,0
1095,D Smit,448,0,0,9,0,0
1096,BOP Fernando,444,0,2,11,0,1
1097,B Lee,443,2,0,15,1,0
1098,JM Kettleborough,443,0,0,14,0,0
1099,MD Fisher,441,0,0,26,0,0
1100,Zaman Akhter,441,0,0,21,0,0
1101,M Gilkes,440,0,0,23,0,0
1102,A Wellington,440,0,0,16,0,0
1103,Muneeba Ali,439,0,0,12,0,0
1104,Jahurul Islam,438,0,0,17,0,0
1105,Manpreet Singh,438,0,0,12,0,0
1106,Sidra Ameen,438,0,0,7,0,0
1107,HJ Nielsen,436,0,0,17,0,0
1108,BP Nash,434,0,0,16,0,0
1109,AP Rouse,433,0,0,12,0,0
1110,I Liyanage,433,0,0,12,0,0
1111,T Wilson,430,0,0,8,0,0
1112,JP Greaves,429,0,0,9,0,0
1113,MK Villiers,429,0,0,9,0,0
1114,MD Taylor,428,0,0,32,0,0
1115,R Pretorius,427,0,0,12,0,0
1116,Mahedi Hasan,424,0,2,16,0,0
1117,JH Davey,426,0,0,14,0,0
1118,JD Shantry,424,0,0,18,0,0
1119,NCR Larkin,424,0,0,12,0,0
1120,Atharva Taide,395,29,0,10,1,0
1121,ST Evans,424,0,0,9,0,0
1122,A Learoyd,424,0,0,6,0,0
1123,V Sibanda,423,0,0,14,0,0
1124,Yasir Shah,422,0,0,26,0,0
1125,G Motie,421,0,0,14,0,0
1126,BJ McCarthy,420,0,0,21,0,0
1127,JE Cameron,420,0,0,7,0,0
1128,AB Kaur,379,40,0,11,3,0
1129,ME Milnes,418,0,0,24,0,0
1130,Shahbaz Ahmed,282,118,18,10,2,2
1131,Lalit Yadav,178,214,25,6,7,1
1132,DR Gibson,417,0,0,12,1,0
1133,WT O'Donnell,417,0,0,12,0,0
1134,GC Viljoen,416,0,0,26,0,0
1135,NR Welch,416,0,0,19,0,0
1136,CL Griffith,416,0,0,13,0,0
1137,H Singh,416,0,0,8,0,0
1138,Shubham Ranjane,326,89,0,8,3,0
1139,P Maduwantha,415,0,0,7,0,0
1140,DL Vettori,413,0,0,19,0,0
1141,S Steel,413,0,0,13,0,0
1142,Mrunal Devdhar,350,63,0,7,4,0
1143,S Ecclestone,389,16,7,27,3,2
1144,N Holland,412,0,0,12,0,0
1145,KNA Bandara,412,0,0,10,0,0
1146,EA Burns,411,0,0,15,0,0
1147,SJ Bryce,411,0,0,11,0,0
1148,DR Briggs,410,0,0,16,0,0
1149,I Udana,409,0,0,20,0,0
1150,M Subasingha,408,0,0,10,0,0
1151,AJ Hosein,405,2,0,21,0,0
1152,RA Herman,407,0,0,13,0,0
1153,TD Groenewald,406,0,0,19,0,0
1154,GFB Scott,406,0,0,14,0,0
1155,SD Lad,209,197,0,3,9,0
1156,TD Astle,405,0,0,13,0,0
1157,SR Wells,405,0,0,10,0,0
1158,TE Bailey,404,0,0,26,0,0
1159,AT Nidamanuru,363,0,41,15,0,0
1160,JM Anderson,398,4,0,33,2,0
1161,ER Bamber,402,0,0,16,0,0
1162,M Pretorius,401,0,0,20,0,0
1163,SJ Taylor,386,13,0,8,3,0
1164,Virat Singh,399,0,0,6,0,0
1165,Sameer Rizvi,359,39,0,12,1,0
1166,L Harris,397,0,0,18,0,0
1167,Naeem Islam,396,0,0,17,0,0
1168,Vivek Singh,237,159,0,6,3,0
1169,BMAJ Mendis,395,0,0,16,1,0
1170,BF Calitz,395,0,0,10,0,0
1171,JE Taylor,393,0,0,32,0,0
1172,NJ Astle,393,0,0,3,0,0
1173,Jay Bista,136,256,0,5,5,0
1174,Pulindu Perera,392,0,0,5,0,0
1175,Zeeshan Maqsood,391,0,0,13,0,0
1176,Muhammad Asim,391,0,0,4,0,0
1177,A Bosch,390,0,0,11,0,0
1178,NS Dhaliwal,388,0,0,11,0,0
1179,M Wright,388,0,0,9,0,0
1180,JW Jenner,388,0,0,4,0,0
1181,IDM Latin,387,0,0,16,0,0
1182,M Kaif,321,65,0,13,4,0
1183,SJ Topping,386,0,0,5,0,0
1184,Carl Cachopa,385,0,0,10,0,0
1185,Ayan Khan,385,0,0,7,0,0
1186,CJA Amini,384,0,0,11,0,0
1187,Pargat Singh,384,0,0,9,0,0
1188,S Shanmuganathan,384,0,0,7,0,0
1189,Marie Kelly,383,0,0,13,0,0
1190,LPC Silva,380,3,0,11,1,0
1191,TR Birt,383,0,0,11,0,0
1192,JM Gibson,383,0,0,9,0,0
1193,S Gimhan,383,0,0,9,0,0
1194,Hasan Ali,382,0,0,33,0,0
1195,A Dercksen,382,0,0,11,0,0
1196,MPM Weerasinghe,382,0,0,7,0,0
1197,G Scrivens,381,0,0,15,0,0
1198,ZE Green,381,0,0,12,0,0
1199,Aamer Jamal,381,0,0,10,0,0
1200,AJ Hodd,381,0,0,10,0,0
1201,WSEN Fernando,381,0,0,10,0,0
1202,Wahab Riaz,380,0,0,39,0,0
1203,W Sahan,379,0,0,9,0,0
1204,HV Patel,283,87,8,17,4,2
1205,M Mosehle,378,0,0,14,0,0
1206,Faisal Iqbal,378,0,0,9,0,0
1207,WJ Lubbe,376,0,0,19,0,0
1208,KV Sharma,323,46,7,10,4,1
1209,BM Hope,375,0,0,13,0,0
