S.no,Player Name,Runs in Flat Pitches,Runs in Red Soil Pitches,Runs in Black Soil Pitches,Dismissals in Flat Pitches,Dismissals in Red Soil Pitches,Dismissals in Black Soil Pitches
139,LJ Evans,4017,0,0,103,0,0
140,JA Leaning,3993,0,0,120,0,0
141,R Vasconcelos,3989,0,0,90,0,0
142,JA Simpson,3986,0,0,116,0,0
143,Liton Das,3855,22,102,104,1,2
144,BA Godleman,3975,0,0,91,0,0
145,OG Robinson,3962,0,0,81,0,0
146,R Powell,3717,220,24,116,6,2
147,R Dravid,3569,392,0,71,7,0
148,BT Slater,3933,0,0,74,0,0
149,E Lewis,3643,241,47,77,9,1
150,Miles Hammond,3925,0,0,114,0,0
151,MS Wade,3813,66,39,102,3,4
152,AM Rossington,3913,0,0,110,0,0
153,DG Bedingham,3886,0,0,74,0,0
154,ADS Fletcher,3877,0,0,101,0,0
155,JC Hildreth,3868,0,0,84,0,0
156,RT Ponting,3739,125,0,64,6,0
157,RN ten Doeschate,3778,70,0,77,0,1
158,RI Keogh,3845,0,0,100,0,0
159,DJ Willey,3797,12,16,115,3,1
160,BR McDermott,3821,0,0,86,0,0
161,Sikandar Raza,3793,27,0,93,1,0
162,Azhar Ali,3818,0,0,77,0,0
163,DP Sibley,3805,0,0,74,0,0
164,TH David,3433,360,0,82,8,0
165,JD Ryder,3719,69,0,75,3,0
166,NRT Gubbins,3784,0,0,76,0,0
167,MEK Hussey,3611,157,0,64,6,0
168,SR Dickson,3763,0,0,78,0,0
169,GJ Bailey,3480,77,188,84,2,4
170,BT Foakes,3736,0,0,89,0,0
171,HM Nicholls,3626,55,42,71,2,1
172,LJ Hill,3702,0,0,106,0,0
173,JM Cox,3695,0,0,72,0,0
174,RK Patel,3681,0,0,93,0,0
175,RD Rickelton,3116,557,0,70,11,0
176,EG Barnard,3664,0,0,90,0,0
177,BL Mooney,3532,132,0,48,6,0
178,MJ Clarke,3631,26,0,71,4,0
179,MS Chapman,3653,2,0,78,1,0
180,JL Smith,3654,0,0,79,0,0
181,JH Kallis,3501,147,0,59,5,0
182,JJ Cobb,3637,0,0,92,0,0
183,SD Robson,3607,0,0,65,0,0
184,J Charles,3554,52,0,105,2,0
185,BRM Taylor,3594,0,0,82,0,0
186,RE Levi,3539,30,0,76,4,0
187,YBK Jaiswal,3092,318,127,72,11,3
188,RA Whiteley,3528,0,0,105,0,0
189,CP Jewell,3516,0,0,76,0,0
190,MN Samuels,3361,140,9,75,7,1
191,Younis Khan,3500,0,0,56,0,0
192,RV Uthappa,2846,526,126,83,18,6
193,MDKJ Perera,3464,4,7,94,1,1
194,CA Pujara,2999,367,95,54,7,3
195,D Elgar,3392,5,54,55,0,2
196,AL Davies,3434,0,0,108,0,0
197,R Ravindra,3229,70,83,73,7,3
198,RF Higgins,3374,0,0,82,0,0
199,GH Roderick,3358,0,0,94,0,0
200,JP Inglis,3318,39,0,74,2,0
201,DL Lloyd,3355,0,0,122,0,0
202,SA Zaib,3355,0,0,74,0,0
203,AT Carey,3350,0,0,80,0,0
204,HD Rutherford,3344,0,0,91,0,0
205,FH Allen,3302,37,0,86,1,0
206,BC Brown,3329,0,0,88,0,0
207,SM Davies,3312,0,0,86,0,0
208,AJ Hose,3303,0,0,90,0,0
209,DJM Short,3268,4,0,77,1,0
210,A Balbirnie,3270,0,0,86,0,0
211,PD Trego,3266,0,0,76,0,0
212,TC Bruce,3261,5,0,61,1,0
213,DJ Vilas,3265,0,0,66,0,0
214,TJ Haines,3255,0,0,67,0,0
215,Abhishek Sharma,2765,359,120,74,11,4
216,MJJ Critchley,3224,0,0,97,0,0
217,JMR Taylor,3221,0,0,92,0,0
218,AT Rayudu,1800,1072,342,47,47,10
219,L Wolvaardt,3071,0,133,55,0,1
220,IJL Trott,3162,39,0,56,2,0
221,DN Wyatt,3044,156,0,58,5,0
